"name","sale","brand","base_price","weight","type","category","gender","ground_type","stability","drop","use","rating","1_star","2_star","3_star","4_star","5_star","review_count","is_recommended","news","sole_details","upper","material","use_details","care_instructions","description","base_model"
"Graspifier Homme","0","Vibram fivefingers","120.0","81","Chaussures minimalistes","Fitness","Homme","Salle","Guidée","0","Occasionel","3.5","1","1","0","2","2","6","60","True","","","Caoutchouc Vibram EcoStep avec 30 % de contenu Vibram recyclé.","Idéal pour l'entraînement en musculation et les routines en salle, où l'attention est portée sur l'équilibre et la sensation au sol.","Lavage en machine à froid / Séchage à l'air libre","La tige synthétique respirante et extensible de la Graspifier épouse véritablement le pied comme un gant, tandis que la semelle Max-Feel segmentée offre une excellente sensation au sol et une bonne articulation du pied, avec un équilibre optimal entre traction et durabilité.
Notre caoutchouc Vibram EcoStep avec 30 % de contenu Vibram recyclé offre adhérence et traction, reconnaissant ainsi notre engagement envers la durabilité du produit.
Épaisseur totale de la semelle : 5 mm","graspifier"
"Graspifier Femme","0","Vibram fivefingers","120.0","65","Chaussures minimalistes","Fitness","Femme","Salle","Guidée","0","Occasionel","5.0","0","0","0","0","1","1","100","False","","","Caoutchouc Vibram EcoStep avec 30 % de contenu Vibram recyclé.","Idéal pour l'entraînement en musculation et les routines en salle, où l'attention est portée sur l'équilibre et la sensation au sol.","Lavage en machine à froid / Séchage à l'air libre","La tige synthétique respirante et extensible de la Graspifier épouse véritablement le pied comme un gant, tandis que la semelle Max-Feel segmentée offre une excellente sensation au sol et une bonne articulation du pied, avec un équilibre optimal entre traction et durabilité.
Notre caoutchouc Vibram EcoStep avec 30 % de contenu Vibram recyclé offre adhérence et traction, reconnaissant ainsi notre engagement envers la durabilité du produit.
Épaisseur totale de la semelle : 5 mm","graspifier"
"KSO EVO Homme","0","Vibram fivefingers","115.0","139","Chaussures minimalistes","Fitness","Homme","Salle","Modérée","0","Occasionel","4.3","29","20","32","39","285","405","85","False","Semelle intérieure : 2 mm EVA + Doublure en Drilex
Semelle extérieure : 3 mm de caoutchouc
Composé : Vibram XS Trek","Maille de Polyester
Film de protection et renforcement en polyuréthane
Laçage rapide","Caoutchouc, dublure en Drilex, maille de polyester, film de protection en polyuréthane","Fitness, pliométrie, mouvements primitifs, équilibre et renforcement.","Lavage en machine à froid / Séchage à l'air libre","Articulation et sensation au sol maximales. Adhérence assurée et protection essentielle.
Conception légère, aérée et simple de la tige réglable.
Ce modèle fait partie de notre gamme Medium Ground Feel. Philosophie du produit.","kso_evo"
"KSO EVO Femme","0","Vibram fivefingers","115.0","99","Chaussures minimalistes","Fitness","Femme","Salle","Modérée","0","Occasionel","4.0","22","12","11","21","102","168","79","False","Semelle intérieure : 2 mm EVA + Doublure en Drilex
Semelle extérieure : 3 mm de caoutchouc
Composé : Vibram XS Trek","Maille de Polyester
Film de protection et renforcement en polyuréthane
Laçage rapide","Caoutchouc, dublure en Drilex, maille de polyester, film de protection en polyuréthane","Fitness, pliométrie, mouvements primitifs, équilibre et renforcement.","Lavage en machine à froid / Séchage à l'air libre","Articulation et sensation au sol maximales. Adhérence assurée et protection essentielle.
Conception légère, aérée et simple de la tige réglable.
Ce modèle fait partie de notre gamme Medium Ground Feel. Philosophie du produit.","kso_evo"
"Breezandal Homme","0","Vibram fivefingers","150.0","182","Chaussures minimalistes","Trail","Homme","Boue","Minimaliste","0","Intensif","3.3","1","0","0","1","1","3","67","False","","","","Idéal pour les sentiers, s’adapte également à l’eau.","Lavage en machine à froid / Séchage à l’air libre","La Breezandal est la chaussure d'extérieur la plus respirante de la collection Fivefingers.
Conçue pour être utilisée sur les sentiers, la semelle en caoutchouc MegaGrip excelle également sur les roches humides, ce qui fait de la Breezandal une chaussure idéale pour une use_details près des rivières et des lacs.","breezandals"
"Breezandal Femme","0","Vibram fivefingers","150.0","134","Chaussures minimalistes","Trail","Femme","Boue","Minimaliste","0","Intensif","5.0","0","0","0","0","3","3","100","False","","","","Idéal pour les sentiers, s’adapte également à l’eau.","Lavage en machine à froid / Séchage à l’air libre","La Breezandal est la chaussure d'extérieur la plus respirante de la collection Fivefingers.
Conçue pour être utilisée sur les sentiers, la semelle en caoutchouc MegaGrip excelle également sur les roches humides, ce qui fait de la Breezandal une chaussure idéale pour une use_details près des rivières et des lacs.","breezandals"
"Roadaround Femme","0","Vibram fivefingers","180.0","132","Chaussures minimalistes","Casual","Femme","Route","Modérée","0","Intensif","3.5","0","0","1","1","0","2","50","True","","","","Convient parfaitement pour marcher sur des surfaces dures comme l'asphalte et le béton.","Lavage en machine à froid / Séchage à l’air libre","La tige en air-mesh super-respirante avec des panneaux réfléchissants rappelle les jours de gloire de la conception des baskets.
La semelle intermédiaire en EVA à double coussin d'air et la semelle extérieure articulée Vibram Carrarmato reflètent l'histoire de Vibram en termes d'image et de fonction. Notre caoutchouc Vibram EcoStep avec 30 % de contenu Vibram recyclé offre adhérence et traction, reconnaissant ainsi notre engagement en faveur de la durabilité des produits.
Épaisseur totale de la semelle : 11,5 mm","roadaround"
"V-Aqua Homme","0","Vibram fivefingers","130.0","138","Chaussures minimalistes","Trail","Homme","Sentier","Minimaliste","0","Régulier","4.2","24","12","26","41","164","267","81","False","Semelle Megagrip de 3,7 mm avec perforations drainantes pour une meilleure performance
Semelle intérieure en EVA de 2 mm avec traitement silicone","","","Trekking dans les roches humides, Canoë, Kayak, Expéditions en rivière, Tubing, SUP.","Lavage en machine à froid / Séchage à l’air libre","Déplacez-vous naturellement dans et hors de l'eau tout ainsi que sur des terrains variés.
Légère, fine et flexible sur le pied, la V-Aqua est idéale pour les situations où il n'est pas possible de marcher entièrement pieds nus.
La coupe ajustée et la conception légère, ainsi que les perforations de la Semelle Megagrip très résistante, permettent à l'eau de circuler rapidement dans la chaussure pour un séchage rapide.
Un autre élément distinctif, l'impression en Silicone de pointe dans la doublure empêche tout glissement interne supplémentaire.","v_aqua"
"V-Aqua Femme","0","Vibram fivefingers","130.0","112","Chaussures minimalistes","Trail","Femme","Sentier","Minimaliste","0","Régulier","4.0","12","4","5","9","48","78","82","False","Semelle Megagrip de 3,7 mm avec perforations drainantes pour une meilleure performance
Semelle intérieure en EVA de 2 mm avec traitement silicone","","","Trekking dans les roches humides, Canoë, Kayak, Expéditions en rivière, Tubing, SUP.","Lavage en machine à froid / Séchage à l’air libre","Déplacez-vous naturellement dans et hors de l'eau tout ainsi que sur des terrains variés.
Légère, fine et flexible sur le pied, la V-Aqua est idéale pour les situations où il n'est pas possible de marcher entièrement pieds nus.
La coupe ajustée et la conception légère, ainsi que les perforations de la Semelle Megagrip très résistante, permettent à l'eau de circuler rapidement dans la chaussure pour un séchage rapide.
Un autre élément distinctif, l'impression en Silicone de pointe dans la doublure empêche tout glissement interne supplémentaire.","v_aqua"
"Scramkey Homme","0","Vibram fivefingers","160.0","406","Chaussures minimalistes","Trail","Homme","Sentier","Guidée","0","Régulier","3.3","0","1","1","0","1","3","67","True","Crampon de traction VN098 + semelle-sangle de puissance intégrée, avec une zone 'adhérence élevée pré-tamponnée à l'avant pied.
Composé : Megagrip 2.0
Caoutchouc : 4mm","Tige en polyester extensible avec superpositions en tpu aux principaux points d'abrasion ; col en néoprène extensible avec deux languettes de serrage. Contrefort de talon en tpu à haute abrasion.","","Convient parfaitement à la pratique du scrambling sur des terrains accidentés et rocailleux.","Lavage en machine à froid / Séchage à l'air libre","La Scramkey est l'outil de mouvement naturel le plus puissant pour faire du scrambling en extérieur.
Avec la technologie Traction lug, le power strap intégré à la semelle, la zone d'adhérence pré-tamponnée et le composé ultime Megagrip™ Elite, ce produit excelle dans les endroits rocailleux en extérieur.
Il est doté d'une tige durable et sûre qui utilise une tige en polyester extensible avec des renforts TPU et une double fermeture auto-agrippante.","scramkey"
